fact_id,layer,subject,subject_type,relation,object,object_type,semantic_type,source_id,confidence,may_drive_hard_mask,derivation_rule_id,evidence_scope
fact_d869854b246945a18cc9,decision,POLYMAX_PLA,material_product,HAS_FAMILY,material_family:pla,material_family,descriptive,polymaker_pla,0.98,False,,official_or_public_curated_claim
fact_9321ad3d9acfb6c28a79,decision,POLYMAX_PLA,material_product,NOZZLE_TEMP_RANGE_C,190-230,typed_literal,hard_capability_requirement,polymaker_pla,0.98,True,,official_or_public_curated_claim
fact_e98dcb5b19717ddef717,decision,POLYMAX_PLA,material_product,BED_TEMP_RANGE_C,25-60,typed_literal,hard_capability_requirement,polymaker_pla,0.98,True,,official_or_public_curated_claim
fact_3bc1435d0b3ea4a3669e,decision,POLYMAKER_PETG,material_product,HAS_FAMILY,material_family:petg,material_family,descriptive,polymaker_petg,0.98,False,,official_or_public_curated_claim
fact_d33af17e4df24e0de0a9,decision,POLYMAKER_PETG,material_product,NOZZLE_TEMP_RANGE_C,240-260,typed_literal,hard_capability_requirement,polymaker_petg,0.98,True,,official_or_public_curated_claim
fact_572d6839810bd731640a,decision,POLYMAKER_PETG,material_product,BED_TEMP_RANGE_C,60-70,typed_literal,hard_capability_requirement,polymaker_petg,0.98,True,,official_or_public_curated_claim
fact_e9b80a2de4592603c36c,decision,POLYMAKER_PETG,material_product,DRYBOX,recommended,typed_literal,soft_recommendation,polymaker_petg,0.98,False,,official_or_public_curated_claim
fact_61dc8c1de67f4b2ed280,decision,POLYLITE_ASA,material_product,HAS_FAMILY,material_family:asa,material_family,descriptive,polymaker_asa,0.96,False,,official_or_public_curated_claim
fact_74d8c86fd71b21cbb9b5,decision,POLYLITE_ASA,material_product,NOZZLE_TEMP_RANGE_C,240-260,typed_literal,hard_capability_requirement,polymaker_asa,0.96,True,,official_or_public_curated_claim
fact_c3dec11716c6427e62ba,decision,POLYLITE_ASA,material_product,BED_TEMP_RANGE_C,75-95,typed_literal,hard_capability_requirement,polymaker_asa,0.96,True,,official_or_public_curated_claim
fact_b43941d1ec659de27df2,decision,POLYLITE_ASA,material_product,ENCLOSURE,strong,typed_literal,soft_recommendation,polymaker_asa,0.96,False,,official_or_public_curated_claim
fact_0de7f687e583a6eb28b8,decision,POLYLITE_ASA,material_product,DRYBOX,recommended,typed_literal,soft_recommendation,polymaker_asa,0.96,False,,official_or_public_curated_claim
fact_e22dfddf13c9557f75c9,decision,POLYLITE_ABS,material_product,HAS_FAMILY,material_family:abs,material_family,descriptive,polymaker_abs,0.98,False,,official_or_public_curated_claim
fact_ba4252faca5816f04f39,decision,POLYLITE_ABS,material_product,NOZZLE_TEMP_RANGE_C,245-265,typed_literal,hard_capability_requirement,polymaker_abs,0.98,True,,official_or_public_curated_claim
fact_7b926dcf493ac19d4bf7,decision,POLYLITE_ABS,material_product,BED_TEMP_RANGE_C,90-100,typed_literal,hard_capability_requirement,polymaker_abs,0.98,True,,official_or_public_curated_claim
fact_a402e8686110359aeabd,decision,POLYLITE_ABS,material_product,ENCLOSURE,required,typed_literal,hard_requirement,polymaker_abs,0.98,True,,official_or_public_curated_claim
fact_bf9df51e944e4b586e3b,decision,POLYLITE_ABS,material_product,DRYBOX,recommended,typed_literal,soft_recommendation,polymaker_abs,0.98,False,,official_or_public_curated_claim
fact_1b007f75f6dd37e22b2e,decision,POLYMAX_PC,material_product,HAS_FAMILY,material_family:pc,material_family,descriptive,polymaker_pc,0.96,False,,official_or_public_curated_claim
fact_4ad4cd7648e6419862dd,decision,POLYMAX_PC,material_product,NOZZLE_TEMP_RANGE_C,260-270,typed_literal,hard_capability_requirement,polymaker_pc,0.96,True,,official_or_public_curated_claim
fact_804b6a71327d453936ca,decision,POLYMAX_PC,material_product,BED_TEMP_RANGE_C,100-110,typed_literal,hard_capability_requirement,polymaker_pc,0.96,True,,official_or_public_curated_claim
fact_36b08a011805bab3ba23,decision,POLYMAX_PC,material_product,ENCLOSURE,strong,typed_literal,soft_recommendation,polymaker_pc,0.96,False,,official_or_public_curated_claim
fact_4ec8a5ca6c6cb8c885dc,decision,POLYMAX_PC,material_product,DRYBOX,recommended,typed_literal,soft_recommendation,polymaker_pc,0.96,False,,official_or_public_curated_claim
fact_6fd7d231200a3d79b89c,decision,FIBERON_PA6_CF20,material_product,HAS_FAMILY,material_family:pa_cf,material_family,descriptive,polymaker_pa6cf,0.96,False,,official_or_public_curated_claim
