relation,layer,domain,range,decision_role,eligible_for_hard_mask,observed_fact_count
ALIGNS_WITH_PROFILE_MODEL,decision,printer_model,printer_model,entity_alignment,False,5
AVAILABLE_NOZZLE_DIAMETER_MM,representation,profile_or_model,typed_entity_or_value,representation,False,202
BED_TEMP_RANGE_C,decision,material_product,temperature_range,hard_requirement,True,6
BUILD_VOLUME_MM,decision,printer_model,dimension_value,hard_capability,True,9
COMPATIBLE_PRINTER_CONDITION,representation,profile_or_model,typed_entity_or_value,representation,False,164
COOL_PLATE_TEMPERATURE_C,representation,profile_or_model,typed_entity_or_value,representation,False,123
DEFAULT_FILAMENT_ENTITY,representation,profile_or_model,typed_entity_or_value,representation,False,695
DEFAULT_FILAMENT_PROFILE,representation,profile_or_model,typed_entity_or_value,representation,False,935
DEFAULT_PROCESS_PROFILE,representation,profile_or_model,typed_entity_or_value,representation,False,210
DRYBOX,decision,material_product,requirement_level,declared_hard_or_soft,True,5
ENCLOSED,decision,printer_model,boolean,hard_capability,True,9
ENCLOSURE,decision,material_product,requirement_level,declared_hard_or_soft,True,3
ENGINEERING_PLATE_TEMPERATURE_C,representation,profile_or_model,typed_entity_or_value,representation,False,906
FILAMENT_COST,representation,profile_or_model,typed_entity_or_value,representation,False,207
FILAMENT_DENSITY_G_CM3,representation,profile_or_model,typed_entity_or_value,representation,False,263
FILAMENT_DIAMETER_MM,representation,profile_or_model,typed_entity_or_value,representation,False,12
HARDENED_NOZZLE,decision,printer_model,boolean,hard_capability,True,9
HAS_FAMILY,decision,material_product,material_family,descriptive,False,6
HOT_PLATE_TEMPERATURE_C,representation,profile_or_model,typed_entity_or_value,representation,False,461
INHERITS,representation,profile_or_model,typed_entity_or_value,representation,False,3350
INITIAL_LAYER_HEIGHT_MM,representation,profile_or_model,typed_entity_or_value,representation,False,266
INITIAL_NOZZLE_TEMPERATURE_C,representation,profile_or_model,typed_entity_or_value,representation,False,1787
INSTANCE_OF_MODEL,representation,profile_or_model,typed_entity_or_value,representation,False,202
LAYER_HEIGHT_MM,representation,profile_or_model,typed_entity_or_value,representation,False,304
MACHINE_FAMILY,representation,profile_or_model,typed_entity_or_value,representation,False,92
MACHINE_TECHNOLOGY,representation,profile_or_model,typed_entity_or_value,representation,False,92
MATERIAL_FAMILY,representation,profile_or_model,typed_entity_or_value,representation,False,148
MATERIAL_SUITABILITY,decision,printer_model,family_suitability,soft_guidance,False,54
MATERIAL_VENDOR,representation,profile_or_model,typed_entity_or_value,representation,False,101
MAX_BED_C,decision,printer_model,temperature_value,hard_capability,True,9
MAX_NOZZLE_C,decision,printer_model,temperature_value,hard_capability,True,9
MAX_VOLUMETRIC_SPEED_MM3_S,representation,profile_or_model,typed_entity_or_value,representation,False,2415
NOZZLE_DIAMETER_MM,representation,profile_or_model,typed_entity_or_value,representation,False,216
NOZZLE_TEMPERATURE_C,representation,profile_or_model,typed_entity_or_value,representation,False,1893
NOZZLE_TEMPERATURE_MAX_C,representation,profile_or_model,typed_entity_or_value,representation,False,155
NOZZLE_TEMPERATURE_MIN_C,representation,profile_or_model,typed_entity_or_value,representation,False,160
NOZZLE_TEMP_RANGE_C,decision,material_product,temperature_range,hard_requirement,True,6
NOZZLE_TYPE,representation,profile_or_model,typed_entity_or_value,representation,False,162
PRINTABLE_AREA,representation,profile_or_model,typed_entity_or_value,representation,False,560
PRINTABLE_HEIGHT_MM,representation,profile_or_model,typed_entity_or_value,representation,False,156
PROFILE_TYPE,representation,profile_or_model,typed_entity_or_value,representation,False,3589
PROFILE_VENDOR_NAMESPACE,representation,profile_or_model,typed_entity_or_value,representation,False,3589
REQUIRED_NOZZLE_HRC,representation,profile_or_model,typed_entity_or_value,representation,False,31
SPARSE_INFILL_DENSITY,representation,profile_or_model,typed_entity_or_value,representation,False,183
SPARSE_INFILL_PATTERN,representation,profile_or_model,typed_entity_or_value,representation,False,225
SUPPORTS_MATERIAL_FAMILY,representation,profile_or_model,typed_entity_or_value,representation,False,40
TEXTURED_PLATE_TEMPERATURE_C,representation,profile_or_model,typed_entity_or_value,representation,False,397
VITRIFICATION_TEMPERATURE_C,representation,profile_or_model,typed_entity_or_value,representation,False,258
WALL_LOOPS,representation,profile_or_model,typed_entity_or_value,representation,False,218
WEAR_RESISTANT_NOZZLE,decision,material_product,requirement_level,declared_hard_or_soft,True,1
