source_id,publisher,source_type,url,retrieved_date,source_quality,sha256,software_version
prusa_material_guide,Prusa Research,manufacturer knowledge,https://help.prusa3d.com/filament-material-guide,2026-09-10,official,,
prusa_composite_guide,Prusa Research,manufacturer knowledge,https://help.prusa3d.com/article/composite-materials-carbon-kevlar-glass_167387,2026-09-10,official,,
polymaker_pla,Polymaker,manufacturer product data,https://polymaker.com/product/polymax-pla/,2026-09-10,official,,
polymaker_petg,Polymaker,manufacturer product data,https://polymaker.com/product/polymaker-petg/,2026-09-10,official,,
polymaker_asa,Polymaker,manufacturer product data,https://polymaker.com/product/polylite-asa/,2026-09-10,official,,
polymaker_abs,Polymaker,manufacturer technical data,https://polymaker.com/product/polylite-abs/,2026-09-10,official,,
polymaker_pc,Polymaker,manufacturer product data,https://polymaker.com/product/polymax-pc/,2026-09-10,official,,
polymaker_pa6cf,Polymaker,manufacturer product data,https://polymaker.com/product/fiberon-pa6-cf20/,2026-09-10,official,,
prusa_mk4s,Prusa Research,manufacturer specification,https://www.prusa3d.com/product/original-prusa-mk4s/,2026-09-10,official,,
prusa_core_one_plus,Prusa Research,manufacturer specification,https://www.prusa3d.com/product/original-prusa-core-one-kit-2/,2026-09-10,official,,
prusa_core_one_l,Prusa Research,manufacturer specification,https://www.prusa3d.com/product/original-prusa-core-one-l/,2026-09-10,official,,
prusa_xl,Prusa Research,manufacturer specification,https://www.prusa3d.com/product/original-prusa-xl/,2026-09-10,official,,
bambu_a1,Bambu Lab,manufacturer specification,https://bambulab.com/en/a1/tech-specs,2026-09-10,official,,
bambu_a1mini,Bambu Lab,manufacturer specification,https://bambulab.com/en/a1-mini/tech-specs,2026-09-10,official,,
bambu_p1s,Bambu Lab,manufacturer specification,https://bambulab.com/en/p1/tech-specs,2026-09-10,official,,
bambu_x1c,Bambu Lab,manufacturer specification,https://bambulab.com/en/x1/tech-specs,2026-09-10,official,,
creality_k1c,Creality,manufacturer specification,https://www.creality.com/products/k1c-3d-printer,2026-09-10,official,,
casys_prusaslicer,Casys-AI / PrusaSlicer,public reproducible slicer fixture,https://github.com/Casys-AI/mcp-prusaslicer,2026-09-10,reproducible_public,,
prusa_testdata,PrusaSlicer upstream,public mesh repository,https://github.com/prusa3d/PrusaSlicer/tree/master/tests/data,2026-09-10,reproducible_public,,
gcode_maxneo,Public G-code,public slicer output,https://gist.github.com/hl037/4d28358ca28b598188c2a1c6343dbbda,2026-09-10,public,,
gcode_ender3v2,Public G-code,public slicer output,https://github.com/mriscoc/Ender3V2S1/discussions/1360,2026-09-10,public,,
